id,source_id,task,pathogen,entity_type,phage_names,host_species,host_strain,assay_type,activity_score,active_binary,enhanced_vs_best_single,resistance_or_rebound,biofilm_reduction,antibiotic_synergy,feature_receptor,feature_lps_sugar,feature_family,feature_genus,feature_lifestyle,feature_morphotype,feature_genetic_diversity,feature_receptor_diversity,feature_cocktail_size,evidence
lbnl_eop_452b287c2d0e6c,lbnl_phage_foundry,host_range,E_coli,phage,Bas08,Escherichia coli,ΔgalU,EOP,-0.918884254,true,,,,,TolC,HepII,Drexlerviridae,Tlsvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas08; genotype=ΔgalU; EOP=-0.918884254.
lbnl_eop_01d4a109e15ca3,lbnl_phage_foundry,host_range,E_coli,phage,Bas61,Escherichia coli,ΔgalU,EOP,-10.17609126,false,,,,,NGR,GluI,,Justusliebigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas61; genotype=ΔgalU; EOP=-10.17609126.
lbnl_eop_99783c6abc4f72,lbnl_phage_foundry,host_range,E_coli,phage,Bas62,Escherichia coli,ΔgalU,EOP,-5.668998095,false,,,,,NGR,GluI,,Justusliebigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas62; genotype=ΔgalU; EOP=-5.668998095.
lbnl_eop_8d8b8229b66c35,lbnl_phage_foundry,host_range,E_coli,phage,C16,Escherichia coli,ΔgalU,EOP,-3.518505257,false,,,,,Tsx,HepI,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=C16; genotype=ΔgalU; EOP=-3.518505257.
lbnl_eop_e60724d099b851,lbnl_phage_foundry,host_range,E_coli,phage,CEV1,Escherichia coli,ΔgalU,EOP,-1.185636575,true,,,,,OmpF,HepI,Straboviridae,Mosigvirus,virulent,Myovirus,,,,Direct EOP row: phage=CEV1; genotype=ΔgalU; EOP=-1.185636575.
lbnl_eop_e23688a6302b6d,lbnl_phage_foundry,host_range,E_coli,phage,EV116,Escherichia coli,ΔgalU,EOP,-3.72353792,false,,,,,TolC,HepII,Drexlerviridae,Tlsvirus,virulent,Siphovirus,,,,Direct EOP row: phage=EV116; genotype=ΔgalU; EOP=-3.72353792.
lbnl_eop_959bbb6853da22,lbnl_phage_foundry,host_range,E_coli,phage,EV146,Escherichia coli,ΔgalU,EOP,-1.057991947,true,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=EV146; genotype=ΔgalU; EOP=-1.057991947.
lbnl_eop_08d9e1c3cb04dc,lbnl_phage_foundry,host_range,E_coli,phage,K11,Escherichia coli,ΔgalU,EOP,-3.636821229,false,,,,,Tsx,HepI,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=K11; genotype=ΔgalU; EOP=-3.636821229.
lbnl_eop_bf688cd45f879e,lbnl_phage_foundry,host_range,E_coli,phage,K20,Escherichia coli,ΔgalU,EOP,-3.831087181,false,,,,,OmpF,HepI,Straboviridae,Mosigvirus,virulent,Myovirus,,,,Direct EOP row: phage=K20; genotype=ΔgalU; EOP=-3.831087181.
lbnl_eop_ecf1fcf1507033,lbnl_phage_foundry,host_range,E_coli,phage,KCP031,Escherichia coli,ΔgalU,EOP,-0.963087913,true,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=KCP031; genotype=ΔgalU; EOP=-0.963087913.
lbnl_eop_235b0013f1db1d,lbnl_phage_foundry,host_range,E_coli,phage,L25,Escherichia coli,ΔgalU,EOP,-3.180456049,false,,,,,Tsx,Kdo,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=L25; genotype=ΔgalU; EOP=-3.180456049.
lbnl_eop_4053e6b6b266df,lbnl_phage_foundry,host_range,E_coli,phage,LZ1,Escherichia coli,ΔgalU,EOP,-4.778064402,false,,,,,Tsx,HepI,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=LZ1; genotype=ΔgalU; EOP=-4.778064402.
lbnl_eop_340341a9943638,lbnl_phage_foundry,host_range,E_coli,phage,LZ6,Escherichia coli,ΔgalU,EOP,-3.69896132,false,,,,,Tsx,Kdo,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=LZ6; genotype=ΔgalU; EOP=-3.69896132.
lbnl_eop_0844d14b0ceda0,lbnl_phage_foundry,host_range,E_coli,phage,Mnm1,Escherichia coli,ΔgalU,EOP,-4.970019405,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Mnm1; genotype=ΔgalU; EOP=-4.970019405.
lbnl_eop_8c4c998a5bb432,lbnl_phage_foundry,host_range,E_coli,phage,Mpec11,Escherichia coli,ΔgalU,EOP,-0.196820744,true,,,,,OmpC,Kdo,Straboviridae,Mosigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Mpec11; genotype=ΔgalU; EOP=-0.196820744.
lbnl_eop_8b7e581dc6eab2,lbnl_phage_foundry,host_range,E_coli,phage,NpE,Escherichia coli,ΔgalU,EOP,-3.022276386,false,,,,,NGR,GluI,,Justusliebigvirus,virulent,Myovirus,,,,Direct EOP row: phage=NpE; genotype=ΔgalU; EOP=-3.022276386.
lbnl_eop_2cf8d212d07cc7,lbnl_phage_foundry,host_range,E_coli,phage,NpM,Escherichia coli,ΔgalU,EOP,-4.037788403,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=NpM; genotype=ΔgalU; EOP=-4.037788403.
lbnl_eop_29657dbb0dfe13,lbnl_phage_foundry,host_range,E_coli,phage,NpN,Escherichia coli,ΔgalU,EOP,-3.073786021,false,,,,,NGR,GluI,,Justusliebigvirus,virulent,Myovirus,,,,Direct EOP row: phage=NpN; genotype=ΔgalU; EOP=-3.073786021.
lbnl_eop_436bd4ea4bacc6,lbnl_phage_foundry,host_range,E_coli,phage,NpV,Escherichia coli,ΔgalU,EOP,-5.361640986,false,,,,,NGR,GluI,,Justusliebigvirus,virulent,Myovirus,,,,Direct EOP row: phage=NpV; genotype=ΔgalU; EOP=-5.361640986.
lbnl_eop_cce9f29da9732d,lbnl_phage_foundry,host_range,E_coli,phage,RB51,Escherichia coli,ΔgalU,EOP,-6.609064893,false,,,,,OmpF,HepI,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=RB51; genotype=ΔgalU; EOP=-6.609064893.
lbnl_eop_f5fd61372be66d,lbnl_phage_foundry,host_range,E_coli,phage,RB68,Escherichia coli,ΔgalU,EOP,-5.653125664,false,,,,,OmpW,HepI,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=RB68; genotype=ΔgalU; EOP=-5.653125664.
lbnl_eop_f9a6f68cf16b34,lbnl_phage_foundry,host_range,E_coli,phage,RB69,Escherichia coli,ΔgalU,EOP,-1.172630727,true,,,,,OmpF,HepI,Straboviridae,Mosigvirus,virulent,Myovirus,,,,Direct EOP row: phage=RB69; genotype=ΔgalU; EOP=-1.172630727.
lbnl_eop_779a4c4211d625,lbnl_phage_foundry,host_range,E_coli,phage,T2,Escherichia coli,ΔgalU,EOP,-2.865301339,false,,,,,FadL,Kdo,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=T2; genotype=ΔgalU; EOP=-2.865301339.
lbnl_eop_21bc6c496ae92b,lbnl_phage_foundry,host_range,E_coli,phage,TP5,Escherichia coli,ΔgalU,EOP,-0.95452461,true,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=TP5; genotype=ΔgalU; EOP=-0.95452461.
lbnl_eop_4667f48751d6a9,lbnl_phage_foundry,host_range,E_coli,phage,phi92,Escherichia coli,ΔgalU,EOP,-8.893946608,false,,,,,NGR,GluI,,Justusliebigvirus,virulent,Myovirus,,,,Direct EOP row: phage=phi92; genotype=ΔgalU; EOP=-8.893946608.
lbnl_eop_f4dd93519613c5,lbnl_phage_foundry,host_range,E_coli,phage,Bas02,Escherichia coli,ΔwaaC,EOP,-0.615423953,true,,,,,LptD,None,Drexlerviridae,Veterinaerplatzvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas02; genotype=ΔwaaC; EOP=-0.615423953.
lbnl_eop_ed825bf9247829,lbnl_phage_foundry,host_range,E_coli,phage,Bas05,Escherichia coli,ΔwaaC,EOP,-1.025554104,true,,,,,FhuA,None,Drexlerviridae,Warwickvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas05; genotype=ΔwaaC; EOP=-1.025554104.
lbnl_eop_9d1cea17a990ef,lbnl_phage_foundry,host_range,E_coli,phage,Bas06,Escherichia coli,ΔwaaC,EOP,-0.793945517,true,,,,,BtuB,None,Drexlerviridae,Hanrivervirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas06; genotype=ΔwaaC; EOP=-0.793945517.
lbnl_eop_6289efdd70feec,lbnl_phage_foundry,host_range,E_coli,phage,Bas07,Escherichia coli,ΔwaaC,EOP,-0.278753601,true,,,,,FhuA,None,Drexlerviridae,Hanrivervirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas07; genotype=ΔwaaC; EOP=-0.278753601.
lbnl_eop_ce5a3f0b216bcc,lbnl_phage_foundry,host_range,E_coli,phage,Bas08,Escherichia coli,ΔwaaC,EOP,-10.27106677,false,,,,,TolC,HepII,Drexlerviridae,Tlsvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas08; genotype=ΔwaaC; EOP=-10.27106677.
lbnl_eop_ed20e3f90e7a37,lbnl_phage_foundry,host_range,E_coli,phage,Bas09,Escherichia coli,ΔwaaC,EOP,-0.522878745,true,,,,,FhuA,None,Drexlerviridae,Changchunvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas09; genotype=ΔwaaC; EOP=-0.522878745.
lbnl_eop_cbfb115d9cf03c,lbnl_phage_foundry,host_range,E_coli,phage,Bas10,Escherichia coli,ΔwaaC,EOP,-0.809185484,true,,,,,YncD,None,Drexlerviridae,Henuseptimavirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas10; genotype=ΔwaaC; EOP=-0.809185484.
lbnl_eop_5256444f073ae0,lbnl_phage_foundry,host_range,E_coli,phage,Bas12,Escherichia coli,ΔwaaC,EOP,-0.636822098,true,,,,,FhuA,None,Drexlerviridae,Sertoctavirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas12; genotype=ΔwaaC; EOP=-0.636822098.
lbnl_eop_a3876821fb75d2,lbnl_phage_foundry,host_range,E_coli,phage,Bas14,Escherichia coli,ΔwaaC,EOP,-1.04575749,true,,,,,LptD,None,,Dhillonvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas14; genotype=ΔwaaC; EOP=-1.04575749.
lbnl_eop_121bfc12bd1888,lbnl_phage_foundry,host_range,E_coli,phage,Bas15,Escherichia coli,ΔwaaC,EOP,-1.986636023,true,,,,,FhuA,None,,Dhillonvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas15; genotype=ΔwaaC; EOP=-1.986636023.
lbnl_eop_4fa4f31b70a170,lbnl_phage_foundry,host_range,E_coli,phage,Bas16,Escherichia coli,ΔwaaC,EOP,-0.87221342,true,,,,,FhuA,None,,Dhillonvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas16; genotype=ΔwaaC; EOP=-0.87221342.
lbnl_eop_e58f79427f135f,lbnl_phage_foundry,host_range,E_coli,phage,Bas17,Escherichia coli,ΔwaaC,EOP,-0.956534305,true,,,,,FhuA,None,,Dhillonvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas17; genotype=ΔwaaC; EOP=-0.956534305.
lbnl_eop_1be62924cdcb0b,lbnl_phage_foundry,host_range,E_coli,phage,Bas18,Escherichia coli,ΔwaaC,EOP,-9.194976603,false,,,,,LptD,None,,Dhillonvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas18; genotype=ΔwaaC; EOP=-9.194976603.
lbnl_eop_434ea6d6bf849d,lbnl_phage_foundry,host_range,E_coli,phage,Bas19,Escherichia coli,ΔwaaC,EOP,-9.383216752,false,,,,,LptD,HepII,,Nonagvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas19; genotype=ΔwaaC; EOP=-9.383216752.
lbnl_eop_61f5ac95f27805,lbnl_phage_foundry,host_range,E_coli,phage,Bas20,Escherichia coli,ΔwaaC,EOP,-9.265211028,false,,,,,LptD,HepII,,Nonagvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas20; genotype=ΔwaaC; EOP=-9.265211028.
lbnl_eop_f7088b4376e191,lbnl_phage_foundry,host_range,E_coli,phage,Bas21,Escherichia coli,ΔwaaC,EOP,-0.613959215,true,,,,,LamB,None,,Seuratvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas21; genotype=ΔwaaC; EOP=-0.613959215.
lbnl_eop_4b130105bc5764,lbnl_phage_foundry,host_range,E_coli,phage,Bas22,Escherichia coli,ΔwaaC,EOP,-3.28429502,false,,,,,LamB,None,,Seuratvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas22; genotype=ΔwaaC; EOP=-3.28429502.
lbnl_eop_b53a670356a715,lbnl_phage_foundry,host_range,E_coli,phage,Bas23,Escherichia coli,ΔwaaC,EOP,-0.691283176,true,,,,,LamB,None,,Seuratvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas23; genotype=ΔwaaC; EOP=-0.691283176.
lbnl_eop_aab11c533beb36,lbnl_phage_foundry,host_range,E_coli,phage,Bas24,Escherichia coli,ΔwaaC,EOP,-0.77003336,true,,,,,LamB,None,,Seuratvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas24; genotype=ΔwaaC; EOP=-0.77003336.
lbnl_eop_07fc00b8e4e0b4,lbnl_phage_foundry,host_range,E_coli,phage,Bas25,Escherichia coli,ΔwaaC,EOP,-9.661181444,false,,,,,LptD,HepII,,Seuratvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas25; genotype=ΔwaaC; EOP=-9.661181444.
lbnl_eop_584964fe83687b,lbnl_phage_foundry,host_range,E_coli,phage,Bas26,Escherichia coli,ΔwaaC,EOP,-3.698969136,false,,,,,BtuB,None,Demerecviridae,Epseptimavirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas26; genotype=ΔwaaC; EOP=-3.698969136.
lbnl_eop_e7965a831678ff,lbnl_phage_foundry,host_range,E_coli,phage,Bas29,Escherichia coli,ΔwaaC,EOP,-0.967330883,true,,,,,BtuB,None,Demerecviridae,Epseptimavirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas29; genotype=ΔwaaC; EOP=-0.967330883.
lbnl_eop_04a84835b631ee,lbnl_phage_foundry,host_range,E_coli,phage,Bas34,Escherichia coli,ΔwaaC,EOP,-0.937852092,true,,,,,BtuB,None,Demerecviridae,Tequintavirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas34; genotype=ΔwaaC; EOP=-0.937852092.
lbnl_eop_0ca5c637d338a1,lbnl_phage_foundry,host_range,E_coli,phage,Bas36,Escherichia coli,ΔwaaC,EOP,-9.970036777,false,,,,,Tsx,HepI,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas36; genotype=ΔwaaC; EOP=-9.970036777.
lbnl_eop_49045b971e3614,lbnl_phage_foundry,host_range,E_coli,phage,Bas38,Escherichia coli,ΔwaaC,EOP,-9.452297671,false,,,,,OmpF,HepI,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas38; genotype=ΔwaaC; EOP=-9.452297671.
lbnl_eop_257812b67e8986,lbnl_phage_foundry,host_range,E_coli,phage,Bas39,Escherichia coli,ΔwaaC,EOP,-5.278744915,false,,,,,Tsx,Kdo,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas39; genotype=ΔwaaC; EOP=-5.278744915.
lbnl_eop_e64da208d76e5b,lbnl_phage_foundry,host_range,E_coli,phage,Bas40,Escherichia coli,ΔwaaC,EOP,-2.425968723,false,,,,,OmpC,Kdo,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas40; genotype=ΔwaaC; EOP=-2.425968723.
lbnl_eop_0029b8739db131,lbnl_phage_foundry,host_range,E_coli,phage,Bas41,Escherichia coli,ΔwaaC,EOP,-6.300943145,false,,,,,OmpC,Kdo,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas41; genotype=ΔwaaC; EOP=-6.300943145.
lbnl_eop_0fba0bef1ad328,lbnl_phage_foundry,host_range,E_coli,phage,Bas42,Escherichia coli,ΔwaaC,EOP,-0.881900687,true,,,,,OmpC,Kdo,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas42; genotype=ΔwaaC; EOP=-0.881900687.
lbnl_eop_a1bcd4819b795c,lbnl_phage_foundry,host_range,E_coli,phage,Bas43,Escherichia coli,ΔwaaC,EOP,-4.916445263,false,,,,,Tsx,Kdo,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas43; genotype=ΔwaaC; EOP=-4.916445263.
lbnl_eop_8aab3bb780827d,lbnl_phage_foundry,host_range,E_coli,phage,Bas44,Escherichia coli,ΔwaaC,EOP,-1.204119972,true,,,,,OmpC,Kdo,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas44; genotype=ΔwaaC; EOP=-1.204119972.
lbnl_eop_528dd81574fc6c,lbnl_phage_foundry,host_range,E_coli,phage,Bas45,Escherichia coli,ΔwaaC,EOP,-5.213864028,false,,,,,OmpA,Kdo,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas45; genotype=ΔwaaC; EOP=-5.213864028.
lbnl_eop_5795257ae55b39,lbnl_phage_foundry,host_range,E_coli,phage,Bas46,Escherichia coli,ΔwaaC,EOP,-9.669006781,false,,,,,OmpF,HepI,Straboviridae,Mosigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas46; genotype=ΔwaaC; EOP=-9.669006781.
lbnl_eop_5a3765b762803a,lbnl_phage_foundry,host_range,E_coli,phage,Bas47,Escherichia coli,ΔwaaC,EOP,-3.70607792,false,,,,,OmpF,HepI,Straboviridae,Mosigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas47; genotype=ΔwaaC; EOP=-3.70607792.
lbnl_eop_d35f7972849c9c,lbnl_phage_foundry,host_range,E_coli,phage,Bas48,Escherichia coli,ΔwaaC,EOP,-10.24303805,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas48; genotype=ΔwaaC; EOP=-10.24303805.
lbnl_eop_0eb342c922b626,lbnl_phage_foundry,host_range,E_coli,phage,Bas50,Escherichia coli,ΔwaaC,EOP,-9.544068044,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas50; genotype=ΔwaaC; EOP=-9.544068044.
lbnl_eop_e3cd6159c70115,lbnl_phage_foundry,host_range,E_coli,phage,Bas51,Escherichia coli,ΔwaaC,EOP,-10.26324143,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas51; genotype=ΔwaaC; EOP=-10.26324143.
lbnl_eop_13499d8f6e65d5,lbnl_phage_foundry,host_range,E_coli,phage,Bas52,Escherichia coli,ΔwaaC,EOP,-10.22184875,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas52; genotype=ΔwaaC; EOP=-10.22184875.
lbnl_eop_bbe4bc402e7d54,lbnl_phage_foundry,host_range,E_coli,phage,Bas55,Escherichia coli,ΔwaaC,EOP,-10.3357921,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas55; genotype=ΔwaaC; EOP=-10.3357921.
lbnl_eop_8a0bb37690a075,lbnl_phage_foundry,host_range,E_coli,phage,Bas58,Escherichia coli,ΔwaaC,EOP,-10.1949766,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas58; genotype=ΔwaaC; EOP=-10.1949766.
lbnl_eop_00bcb768eb5d9e,lbnl_phage_foundry,host_range,E_coli,phage,Bas60,Escherichia coli,ΔwaaC,EOP,-10.33243846,false,,,,,NGR,GluI,,Justusliebigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas60; genotype=ΔwaaC; EOP=-10.33243846.
lbnl_eop_9e4287b1bf32af,lbnl_phage_foundry,host_range,E_coli,phage,Bas61,Escherichia coli,ΔwaaC,EOP,-10.17609126,false,,,,,NGR,GluI,,Justusliebigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas61; genotype=ΔwaaC; EOP=-10.17609126.
lbnl_eop_db9ae14b14f9e2,lbnl_phage_foundry,host_range,E_coli,phage,Bas62,Escherichia coli,ΔwaaC,EOP,-10.36797679,false,,,,,NGR,GluI,,Justusliebigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas62; genotype=ΔwaaC; EOP=-10.36797679.
lbnl_eop_3c36903ceff646,lbnl_phage_foundry,host_range,E_coli,phage,Bas64,Escherichia coli,ΔwaaC,EOP,-4.832505438,false,,,,,LPS,GluI,Autotranscriptaviridae,Teseptimavirus,virulent,Podovirus,,,,Direct EOP row: phage=Bas64; genotype=ΔwaaC; EOP=-4.832505438.
lbnl_eop_8741080df0aec8,lbnl_phage_foundry,host_range,E_coli,phage,Bas65,Escherichia coli,ΔwaaC,EOP,-4.31806264,false,,,,,LPS,GluI,Autotranscriptaviridae,Teseptimavirus,virulent,Podovirus,,,,Direct EOP row: phage=Bas65; genotype=ΔwaaC; EOP=-4.31806264.
lbnl_eop_3b7cd32f1f5e0e,lbnl_phage_foundry,host_range,E_coli,phage,Bas66,Escherichia coli,ΔwaaC,EOP,-5.278744915,false,,,,,LPS,GluI,Autotranscriptaviridae,Teetrevirus,virulent,Podovirus,,,,Direct EOP row: phage=Bas66; genotype=ΔwaaC; EOP=-5.278744915.
lbnl_eop_44b691be364265,lbnl_phage_foundry,host_range,E_coli,phage,Bas67,Escherichia coli,ΔwaaC,EOP,-2.35654732,false,,,,,LPS,GluI,Autotranscriptaviridae,Berlinvirus,virulent,Podovirus,,,,Direct EOP row: phage=Bas67; genotype=ΔwaaC; EOP=-2.35654732.
lbnl_eop_ba39f39a59a356,lbnl_phage_foundry,host_range,E_coli,phage,Bas68,Escherichia coli,ΔwaaC,EOP,-3.756961703,false,,,,,LPS,GluI,Autotranscriptaviridae,Berlinvirus,virulent,Podovirus,,,,Direct EOP row: phage=Bas68; genotype=ΔwaaC; EOP=-3.756961703.
lbnl_eop_d7a3c6f52feff9,lbnl_phage_foundry,host_range,E_coli,phage,C16,Escherichia coli,ΔwaaC,EOP,-8.217483947,false,,,,,Tsx,HepI,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=C16; genotype=ΔwaaC; EOP=-8.217483947.
lbnl_eop_ebc601ecbda2bb,lbnl_phage_foundry,host_range,E_coli,phage,CEV1,Escherichia coli,ΔwaaC,EOP,-9.583576586,false,,,,,OmpF,HepI,Straboviridae,Mosigvirus,virulent,Myovirus,,,,Direct EOP row: phage=CEV1; genotype=ΔwaaC; EOP=-9.583576586.
lbnl_eop_0075d4f3a8aabd,lbnl_phage_foundry,host_range,E_coli,phage,CEV2,Escherichia coli,ΔwaaC,EOP,-0.840299157,true,,,,,FhuA,None,Demerecviridae,Tequintavirus,virulent,Siphovirus,,,,Direct EOP row: phage=CEV2; genotype=ΔwaaC; EOP=-0.840299157.
lbnl_eop_7d800e476e764b,lbnl_phage_foundry,host_range,E_coli,phage,CM8,Escherichia coli,ΔwaaC,EOP,-10.47712125,false,,,,,Tsx,HepI,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=CM8; genotype=ΔwaaC; EOP=-10.47712125.
